nta2020,parks_pct,park_coverage,park_area_m2
BK0101,0.40076335877862596,0.027919698530132556,159704.675979906
BK0102,0.7519083969465649,0.10827493864567807,505698.0384576114
BK0103,0.4541984732824427,0.034875493560092743,85830.9239728724
BK0104,0.25190839694656486,0.015561864205883088,131658.07723509817
BK0201,0.6030534351145038,0.05601757483971105,90462.52145641862
BK0202,0.6717557251908397,0.07610309961947845,292174.8322588977
BK0203,0.7786259541984732,0.12509523856908927,354798.0282632883
BK0204,0.3549618320610687,0.02336556616003726,55052.102046118795
BK0261,0.030534351145038167,0.0,0.0
BK0301,0.45038167938931295,0.03391488041788203,202457.35876372564
BK0302,0.4198473282442748,0.031681126348894924,211568.28099149634
BK0401,0.3511450381679389,0.02282539362765877,85441.60187846722
BK0402,0.3473282442748092,0.02254456164313801,101869.13861549886
BK0471,0.22900763358778625,0.013557847958558555,12246.852867543495
BK0501,0.37786259541984735,0.02413757626783534,95162.05308645382
BK0502,0.2786259541984733,0.017196531315751475,77585.13908631267
BK0503,0.25572519083969464,0.015938099432875996,119660.71755429171
BK0504,0.8091603053435115,0.15130629615315938,662145.9726602448
BK0505,0.7175572519083969,0.09438443602484525,481073.63430548954
BK0571,0.8473282442748091,0.1989471584142817,260686.42673193009
BK0601,0.5801526717557252,0.05271646043072118,518358.0418794262
BK0602,0.42748091603053434,0.03179220079190651,132766.67807733774
BK0701,0.44274809160305345,0.03263454639961963,80747.35538204623
BK0702,0.183206106870229,0.010514722679142274,85590.21294553252
BK0703,0.5916030534351145,0.055427526520876194,167903.6679401977
BK0771,0.030534351145038167,0.0,0.0
BK0801,0.38549618320610685,0.024920381825936366,41539.25674386866
BK0802,0.46564885496183206,0.036974971451460045,211716.29774897496
BK0891,0.916030534351145,0.7445105176212773,146171.12961997758
BK0901,0.40458015267175573,0.028690821795298426,93001.64209251701
BK0902,0.31679389312977096,0.019625981258123478,76243.32699162557
BK1001,0.7251908396946565,0.0964442971101597,959712.140871919
BK1002,0.3969465648854962,0.026730036005390707,125652.90914573206
BK1061,0.7442748091603053,0.10312023385633858,140847.2983967419
BK1091,0.9656488549618321,0.9099826023831005,1466852.3602518695
BK1101,0.11450381679389313,0.006052366460331291,47504.0148086131
BK1102,0.7022900763358778,0.09114943865715056,302308.8550816879
BK1103,0.32061068702290074,0.02086879423282007,113904.50214200186
BK1201,0.1297709923664122,0.006821353967626549,12944.672749469235
BK1202,0.08396946564885496,0.0023188034270866997,15157.59082170195
BK1203,0.2633587786259542,0.016198309759161002,45710.001939019116
BK1204,0.42366412213740456,0.03170476266844019,160467.31079742478
BK1301,0.4083969465648855,0.029015951796425292,120889.2059712563
BK1302,0.8740458015267175,0.23616465828876315,1811792.605778271
BK1303,0.7290076335877863,0.097347384540073,212878.43954819607
BK1391,0.9923664122137404,0.9537714669407416,649340.5515496132
BK1401,0.07251908396946564,0.0006728755921023907,2610.9301856949337
BK1402,0.12213740458015267,0.006210841067850688,22973.791374227083
BK1403,0.0916030534351145,0.003610079390628635,18774.619736676515
BK1501,0.3435114503816794,0.02212107468306748,124467.02863767924
BK1502,0.11068702290076336,0.005923653309673333,26167.267837795487
BK1503,0.5381679389312977,0.048118690181966205,491739.01603982283
BK1601,0.41603053435114506,0.031676290690291924,102893.0603256376
BK1602,0.5343511450381679,0.04790762668156766,238381.7252769157
BK1701,0.07633587786259542,0.0016129735876716535,5151.919690818365
BK1702,0.20610687022900764,0.01236786710518536,48183.53833290064
BK1703,0.13358778625954199,0.007563880153574136,33246.78187257912
BK1704,0.15648854961832062,0.00874657793535437,25992.655978528273
BK1771,0.030534351145038167,0.0,0.0
BK1801,0.1946564885496183,0.011191401873560923,98176.40214923526
BK1802,0.5419847328244275,0.04820619215433175,458021.93658280245
BK1803,0.5458015267175572,0.04869338871848212,554703.0203387957
BK1891,0.9083969465648855,0.6912371094296063,4850867.27069217
BK1892,0.8893129770992366,0.47856382345348186,817832.3885800707
BK1893,0.9045801526717557,0.6836436372774434,1275161.0214512406
BK5591,0.9847328244274809,0.9367141361059708,4137118.537647408
BK5691,0.6641221374045801,0.074549180178876,657416.975415155
BK5692,0.030534351145038167,0.0,0.0
BK5693,0.5610687022900763,0.05095409498436968,150500.95562417962
BX0101,0.6145038167938931,0.05698995152650466,379046.90986771305
BX0102,0.3893129770992366,0.02578695378250783,72319.38525618706
BX0201,0.26717557251908397,0.016436023817687908,120141.18388163153
BX0202,0.6106870229007634,0.056511792686545465,141292.3659510904
BX0291,0.9961832061068703,0.9780733592513171,147717.5952319666
BX0301,0.48854961832061067,0.03918077201323414,87890.60188746976
BX0302,0.37404580152671757,0.02390946297804384,38838.904719542974
BX0303,0.6450381679389313,0.07054103776646518,183097.9161519113
BX0391,0.9351145038167938,0.8652670544239566,891257.7955562117
BX0401,0.6908396946564885,0.08425681864981589,362683.74256672955
BX0402,0.6412213740458015,0.06945374252892443,147232.1643176347
BX0403,0.5038167938931297,0.04089160366852186,90410.26855253753
BX0491,0.9198473282442748,0.7657291513608129,349635.0064191352
BX0492,0.9541984732824428,0.894919007295812,270767.8484866841
BX0501,0.4732824427480916,0.03813967657575878,121767.02473814727
BX0502,0.4389312977099237,0.032213275356910986,66396.2556597418
BX0503,0.10687022900763359,0.005826019703823529,6989.019276598491
BX0601,0.5534351145038168,0.04956658163224243,94240.62919171296
BX0602,0.6946564885496184,0.08980108027243493,231011.4042891118
BX0603,0.1717557251908397,0.009515912990465903,25360.856627470075
BX0701,0.6755725190839694,0.0764306444810255,227591.6236951957
BX0702,0.5,0.04054965840619348,161935.22165389164
BX0703,0.8549618320610687,0.21041126723170328,538067.4544794848
BX0801,0.5114503816793893,0.041569041930607925,74176.90920036347
BX0802,0.3282442748091603,0.021143697091333822,42350.82356940877
BX0803,0.732824427480916,0.09840282327616041,1008688.8263422492
BX0901,0.549618320610687,0.0494713655840415,258811.26026647948
BX0902,0.7748091603053435,0.12417071145692554,611350.8472589582
BX0903,0.2480916030534351,0.015228620642155756,81362.83497766855
BX0904,0.29389312977099236,0.017626286140157463,26301.470907059836
BX0991,0.950381679389313,0.8914353158369018,1128152.3454810784
BX1001,0.21374045801526717,0.012663511329822016,31647.500515773652
BX1002,0.4770992366412214,0.03855688263467239,416282.0418350134
BX1003,0.2595419847328244,0.01601035099275794,91868.8552219762
BX1004,0.5763358778625954,0.051929296259892656,245393.0195393751
BX1071,1.0,0.980497541736211,781771.241568479
BX1091,0.9007633587786259,0.6398371182185034,2259104.5467315395
BX1101,0.5229007633587787,0.04465308290435226,113124.07838201932
BX1102,0.6793893129770993,0.08089813012399602,365979.30397473037
BX1103,0.21755725190839695,0.013119380549846512,64132.504331013166
BX1104,0.16412213740458015,0.009184312972121357,23526.2712437976
BX1161,0.8015267175572519,0.14091152925453704,278975.93988322676
BX1201,0.6526717557251909,0.0730443485472043,430661.7609808981
BX1202,0.5877862595419847,0.055031900048051835,504897.8736336966
BX1203,0.33587786259541985,0.021838532736262246,140924.63995294605
BX1271,0.030534351145038167,0.0,0.0
BX2691,0.9770992366412213,0.9250566375159119,7627192.203547862
BX2791,0.9427480916030534,0.8820038161891711,4797798.33709128
BX2891,0.9580152671755725,0.9059168124773384,14626013.652214788
MN0101,0.6335877862595419,0.06415754059623183,199636.56587916738
MN0102,0.5687022900763359,0.051336198756118764,112842.85860378333
MN0191,0.6984732824427481,0.09087587754300189,176300.07949566987
MN0201,0.16030534351145037,0.008805773090198294,18416.555628941063
MN0202,0.583969465648855,0.05392751891102783,92579.5206395871
MN0203,0.3244274809160305,0.021080381182162326,49224.66887989819
MN0301,0.6221374045801527,0.05811128726039894,108560.55967752349
MN0302,0.8129770992366412,0.15240525772556482,406417.657984823
MN0303,0.7061068702290076,0.09154790695496241,281429.043144726
MN0401,0.3015267175572519,0.018502999759513503,88962.76761320706
MN0402,0.33969465648854963,0.021881295101264138,65206.10608059385
MN0501,0.48091603053435117,0.03874202316115667,93392.14525620108
MN0502,0.31297709923664124,0.01941272331163107,77252.97372650875
MN0601,0.18702290076335878,0.01073770899697747,9696.05846904927
MN0602,0.4122137404580153,0.03166573388807052,38602.339114947354
MN0603,0.4312977099236641,0.03182142754527626,81309.1259099674
MN0604,0.22137404580152673,0.013202311831056088,28112.08111251671
MN0661,0.030534351145038167,0.0,0.0
MN0701,0.7099236641221374,0.09177176600277065,235097.5721333009
MN0702,0.8320610687022901,0.18729449918090477,772079.3449073762
MN0703,0.8396946564885496,0.19340489398488436,414311.49869980523
MN0801,0.36259541984732824,0.02367396731673874,82518.98640833718
MN0802,0.1984732824427481,0.011261777356143728,36644.281903698065
MN0803,0.6679389312977099,0.07544109749249747,166942.35638509973
MN0901,0.8778625954198473,0.2805102254314559,725056.4217134792
MN0902,0.8053435114503816,0.14529453645657245,253255.1622160102
MN0903,0.767175572519084,0.12093240057131172,313941.49443007103
MN1001,0.14885496183206107,0.008555689297156988,20033.144887993796
MN1002,0.5954198473282443,0.05566925909840362,215074.68458504154
MN1101,0.5190839694656488,0.04287086189834341,115832.35997696973
MN1102,0.7595419847328244,0.11705236218815213,496184.9544864581
MN1191,0.8969465648854962,0.5760154863722441,2193043.937499583
MN1201,0.7938931297709924,0.13986162676970068,477861.9360672545
MN1202,0.8625954198473282,0.2207361956229945,888940.9997543785
MN1203,0.6259541984732825,0.06028529570565414,141523.02700171777
MN1291,0.9465648854961832,0.8860454038850698,1116160.3447347116
MN1292,0.9236641221374046,0.7791656558269139,1268188.5337727144
MN6491,0.9885496183206107,0.9536123822198872,5926033.9482071735
QN0101,0.2099236641221374,0.01260243718931177,119157.70561420731
