postalCode,nta2020,overlap_frac,overlap_m2
11228,BK1001,0.05741034508668827,406490.5849434949
11228,BK1061,1.4711063470458319e-08,0.10416082304013258
11229,BK1502,0.45559473896145014,4415395.578483573
11229,BK1503,0.3559371776580558,3449564.5055775805
11229,BK1501,0.10031415895628006,972194.4878567512
11229,BK1891,0.05921505081920822,573882.5565958415
11229,BK1802,0.024594857297077447,238361.01446320472
11229,BK1403,0.0002525899025829968,2447.974578409101
11229,BK1801,3.575415366404056e-05,346.51131477175574
11230,BK1204,0.40831158288471975,3289040.505406233
11230,BK1403,0.33973124573265073,2736610.6547172917
11230,BK1402,0.23166439908715822,1866108.198241791
11230,BK1501,0.010310955149920564,83057.0342822985
11230,BK1202,0.009948747628413867,80139.3722331798
11230,BK1502,2.1825345403116226e-05,175.8080056612016
11230,BK1101,1.1208590258527594e-05,90.28768448924302
11230,BK1401,3.558138295425999e-08,0.28661594400071955
11231,BK0601,0.9899972640985177,6298678.571796483
11231,MN0191,0.0033426083999558735,21266.741501432916
11232,BK0702,0.4973786945856778,4485291.929196746
11232,BK0771,0.3779760700377003,3408535.658693288
11232,BK0703,0.08374409964710675,755192.6496930252
11232,BK1201,0.025387164469018612,228937.92021576967
11232,BK0701,2.148927298627913e-05,193.78727665436858
11232,BK1202,2.865185201989144e-06,25.837841873868456
11232,BK1203,8.131404408643639e-07,7.332787464389789
11233,BK1601,0.5149591943791252,3145474.328395423
11233,BK0302,0.3697712151886727,2258636.951143052
11233,BK0802,0.10870306257198219,663980.1686624507
11233,BK0891,0.006428652944680619,39267.50512346271
11233,BK0402,6.0702137613937636e-05,370.78086502285976
11233,BK1602,3.625233405629701e-05,221.43654752291923
11233,BK0502,2.2815638921396138e-05,139.36251123687123
11233,BK0501,1.4499788697536052e-05,88.56762557710454
11233,BK1704,3.605016205967733e-06,22.020164030652438
11234,BK1802,0.27717579442012463,9229287.45434861
11234,BK5691,0.2641749115810862,8796389.317868762
11234,BK1801,0.18766940044788086,6248939.7630928
11234,BK1891,0.17020442568088734,5667398.099814626
11234,BK1892,0.04987319795436055,1660657.56626187
11234,BK1702,0.003694547843261037,123019.55923184351
11234,BK1503,0.00023849355129707686,7941.26177408132
11234,BK1803,0.00011049779743123954,3679.3109502899956
11234,BK1703,6.057786266982963e-05,2017.0971607372012
11234,BK1502,1.0383052146964097e-05,345.73066929709296
11235,BK1503,0.605533259419876,6746634.038931295
11235,BK1303,0.19568919350957184,2180298.6928373417
11235,BK1891,0.06821924500863058,760074.3201560196
11235,BK1301,0.05237031593636081,583491.2461527467
11235,BK1501,0.02489080754650218,277324.43567278556
11235,BK1302,0.0004926245302627562,5488.645541067961
11236,BK1803,0.720496399149597,11221256.48996884
11236,BK1893,0.11727355756496718,1826458.3563232906
11236,BK0503,0.07955112636651238,1238956.3557544085
11236,BK1704,0.07339214646402198,1143034.3035637515
11236,BK1602,0.004269300442016961,66491.54020638308
11236,BK1703,0.0010509861034905784,16368.41578747717
11236,BK0504,0.00015956797502712772,2485.1660292511324
11236,BK1801,2.988810549111852e-05,465.4875417988751
11236,BK1802,2.5073925068113753e-07,3.9050985505500737
11237,BK0401,0.43690537595209755,1936098.1824151417
11237,BK0104,0.3251609945126482,1440915.2304348422
11237,BK0402,0.2210007786455671,979340.6751189218
11237,QN0502,0.0006796346307859795,3011.726213035634
11238,BK0801,0.2835964429611168,1349436.15526399
11238,BK0204,0.22727979624077815,1081464.81389539
11238,BK0802,0.16157764777297712,768834.4660135959
11238,BK5591,0.12359870999287499,588119.3934129918
11238,BK0301,0.11842249578868755,563489.4279536604
11238,BK0203,0.05932425233781314,282282.42270170286
11238,BK0602,0.026195324691417957,124645.13965122445
11238,BK0901,5.3302810617454096e-06,25.363061353433057
11239,BK0504,0.5507178879313012,3720787.7156400415
11239,BK5693,0.42781593649134947,2890431.409503485
11239,QN1091,0.001834874725090567,12396.872312429827
11239,BK0505,0.0004309853190178736,2911.8445501137394
11239,BK1803,9.994670581638542e-06,67.52649285048933
11239,BK0503,1.9066670048784937e-06,12.881918900831241
11251,BK0261,0.9540786083791958,1605217.9080719345
11251,BK0202,0.005986077969966424,10071.454775439157
11251,BK0103,0.0020710800778061377,3484.550225471674
11251,BK0203,0.0001692983957280131,284.8411171194032
11251,BK0102,3.1738232975334716e-05,53.39893326936205
11354,QN0704,0.46098142319458474,4635985.680455361
11354,QN0707,0.29878113942910084,3004774.1932515246
11354,QN0701,0.2395437291988413,2409036.9861605964
11355,QN0706,0.3329914857583729,2663194.5790014868
11355,QN0705,0.32223427782013264,2577160.7340187314
11355,QN0707,0.26440620047791913,2114664.1577440654
11355,QN0704,0.05013205294327131,400945.4215583607
11355,QN8191,0.030159181727307437,241206.6756012132
11355,QN0791,7.68012740981039e-05,614.2401400223629
11356,QN0701,0.9979257634700518,6996865.193968556
11357,QN0702,0.6667629950564977,8372680.774083044
11357,QN0703,0.15464225277450305,1941874.7384987383
11357,QN0701,0.10792986869035102,1355297.6743354485
11357,QN0704,0.06941135030428729,871612.6757253608
11357,QN1101,0.0001545000026618549,1940.088474425731
11358,QN1101,0.37017738045979076,3275417.703722586
11358,QN0704,0.3666344032856311,3244068.5971247884
11358,QN0705,0.2559426360144549,2264641.454045383
11358,QN0703,0.0072449900506553495,64105.39900016435
11358,QN0791,5.901892412006028e-07,5.222135093111212
11359,QN0761,0.9976623222362832,1060189.13539584
11359,QN0703,0.00024693205370134404,262.4081061098191
11360,QN0703,0.6920765822286568,4361851.477553502
11360,QN1102,0.20151937825581914,1270087.1845283643
11360,QN1101,0.08064457955086331,508266.9859134106
11360,QN0702,0.018636295766739752,117456.29936575529
11360,QN0761,0.006097417273934862,38429.31436854469
11361,QN1102,0.7507871093482292,6103189.718598464
11361,QN1101,0.22375827507485288,1818943.3287869089
11361,QN1191,0.02490284809871853,202436.62229611338
11362,QN1103,0.8070930487385218,7162998.138731703
11362,QN1191,0.1580907019686888,1403064.2510457018
11363,QN1103,0.9050965428897726,3551069.003069218
11363,QN1191,0.05958292431984827,233768.51599597806
11364,QN1104,0.3437005582029832,4690501.583041577
11364,QN1102,0.29559904899369305,4034057.478695324
11364,QN1191,0.17506124056617758,2389070.9700853527
11364,QN0891,0.13723496842872118,1872853.6259269607
11364,QN1101,0.048062190911734894,655907.5252441132
11364,QN0803,0.0002323117932059998,3170.372604249415
