nta2020,ntaname,safety_score,quiet_score,parks_score,amenities_score,commute_score,jobs_score,politics_score,schools_score,overall_score
SI0202,New Dorp-Midland Beach,0.7061068702290076,0.6297709923664122,0.6603053435114504,0.4122137404580153,0.5140170742962621,0.4236641221374045,0.9,0.3511450381679389,0.5746528976458114
MN0702,Upper West Side (Central),0.2748091603053435,0.20610687022900764,0.8320610687022901,0.7576335877862596,0.6191949490288207,0.8664122137404581,0.15,0.8893129770992366,0.574441353361427
BK1303,Brighton Beach,0.3129770992366412,0.3587786259541985,0.7290076335877863,0.8263358778625953,0.4859911661942119,0.965648854961832,0.2,0.6984732824427481,0.5721515675300016
MN0701,Upper West Side-Lincoln Square,0.1297709923664122,0.2824427480916031,0.7099236641221374,0.7748091603053435,0.7073911705891401,0.8969465648854962,0.15,0.8625954198473282,0.5642349650259326
MN1201,Washington Heights (South),0.10305343511450382,0.011450381679389166,0.7938931297709924,0.8969465648854962,0.8229262805722196,0.8320610687022901,0.15,0.8931297709923665,0.5629325789646572
MN0101,Financial District-Battery Park City,0.10687022900763354,0.24045801526717558,0.6335877862595419,0.7843511450381679,0.6750115366866636,0.9732824427480916,0.15,0.9389312977099236,0.5628115565896497
QN0707,Flushing-Willets Point,0.26717557251908397,0.316793893129771,0.6068702290076335,0.7786259541984732,0.6522650361482849,0.916030534351145,0.35,0.6145038167938931,0.5627831295185356
MN0301,Chinatown-Two Bridges,0.08778625954198482,0.11068702290076338,0.6221374045801527,0.982824427480916,0.6408821719735425,0.950381679389313,0.15,0.9465648854961832,0.561407981420357
MN0803,Upper East Side-Yorkville,0.23282442748091603,0.19083969465648853,0.6679389312977099,0.900763358778626,0.6981137517305029,0.9580152671755724,0.15,0.6908396946564885,0.5611668907220381
SI0305,Tottenville-Charleston,0.8244274809160306,0.7557251908396947,0.7480916030534351,0.2480916030534351,0.4938278726349792,0.2938931297709923,0.9,0.2251908396946564,0.561155964995403
MN1202,Washington Heights (North),0.17938931297709926,0.022900763358778775,0.8625954198473282,0.8587786259541985,0.6831564374711583,0.8053435114503816,0.15,0.8969465648854962,0.5573888294930551
MN0602,Gramercy,0.03435114503816805,0.09923664122137399,0.4122137404580153,0.916030534351145,0.8482348869404707,0.9809160305343512,0.15,1.0,0.5551228723179404
BX0202,Longwood,0.06106870229007644,0.17938931297709926,0.6106870229007634,0.8645038167938932,0.6918679177562426,0.8549618320610687,0.18,0.9694656488549618,0.5514930317042632
MN0703,Upper West Side-Manhattan Valley,0.15267175572519087,0.1717557251908397,0.8396946564885496,0.8244274809160306,0.6039070912167359,0.8473282442748091,0.15,0.7938931297709924,0.5479597604478935
MN0302,Lower East Side,0.05343511450381677,0.041984732824427606,0.8129770992366412,0.916030534351145,0.6743193354868481,0.8816793893129771,0.0,0.950381679389313,0.5413509856381461
SI0201,Grasmere-Arrochar-South Beach-Dongan Hills,0.7137404580152672,0.6946564885496183,0.7977099236641222,0.3301526717557251,0.460472427318874,0.4007633587786259,0.65,0.2824427480916031,0.5412422595217296
BX0703,Norwood,0.19083969465648853,0.10305343511450382,0.8549618320610687,0.8473282442748091,0.5673742501153668,0.7748091603053435,0.18,0.8091603053435115,0.5409408652338865
SI9592,Miller Field,0.8740458015267176,0.8854961832061069,0.851145038167939,0.1354961832061068,0.4981908616246493,0.0839694656488549,0.65,0.3435114503816794,0.5402318729702567
MN0102,Tribeca-Civic Center,0.08396946564885499,0.2137404580152672,0.5687022900763359,0.7748091603053435,0.9178203353330256,0.9122137404580152,0.15,0.6946564885496184,0.5394889922983076
SI0191,Snug Harbor,0.9312977099236642,0.9160305343511451,0.9618320610687024,0.1603053435114503,0.4981908616246493,0.0839694656488549,0.65,0.1125954198473282,0.5392776744969743
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,0.06488549618320616,0.09160305343511443,0.6717557251908397,0.7729007633587787,0.8170025124339846,0.767175572519084,0.2,0.9236641221374046,0.5386234056573015
SI0391,Freshkills Park (South),0.950381679389313,0.9389312977099237,0.7862595419847328,0.1698473282442748,0.4981908616246493,0.2022900763358778,0.65,0.1125954198473282,0.5385620256420125
SI0106,Port Richmond,0.5343511450381679,0.6450381679389313,0.4351145038167939,0.4885496183206107,0.4426857406552837,0.6412213740458015,0.65,0.465648854961832,0.5378261755971777
MN0501,Midtown South-Flatiron-Union Square,0.0,0.17557251908396942,0.4809160305343511,0.8587786259541985,0.8374769266266728,0.9961832061068704,0.15,0.7977099236641222,0.537079653996273
