nta2020,safety_score,quiet_score,parks_score,amenities_score
BK0101,0.5229007633587786,0.35114503816793896,0.4007633587786259,0.732824427480916
BK0102,0.29007633587786263,0.0725190839694656,0.7519083969465649,0.8874045801526718
BK0103,0.4122137404580153,0.36259541984732824,0.4541984732824427,0.6927480916030535
BK0104,0.40839694656488545,0.3244274809160306,0.2519083969465648,0.6851145038167938
BK0201,0.36641221374045807,0.2977099236641222,0.6030534351145038,0.7461832061068703
BK0202,0.06488549618320616,0.09160305343511443,0.6717557251908397,0.7729007633587787
BK0203,0.22519083969465647,0.2748091603053435,0.7786259541984732,0.7519083969465649
BK0204,0.36259541984732824,0.3435114503816794,0.3549618320610687,0.7404580152671756
BK0261,0.8091603053435115,0.7595419847328245,0.0305343511450381,0.2862595419847328
BK0301,0.2137404580152672,0.23664122137404575,0.4503816793893129,0.8549618320610687
BK0302,0.22137404580152675,0.19465648854961837,0.4198473282442748,0.7805343511450382
BK0401,0.2595419847328244,0.05343511450381677,0.3511450381679389,0.9255725190839694
BK0402,0.25190839694656486,0.1145038167938931,0.3473282442748092,0.7442748091603053
BK0471,0.9274809160305344,0.8816793893129771,0.2290076335877862,0.1545801526717557
BK0501,0.34732824427480913,0.3015267175572519,0.3778625954198473,0.7041984732824428
BK0502,0.2022900763358778,0.41984732824427484,0.2786259541984733,0.5954198473282443
BK0503,0.2977099236641222,0.4312977099236641,0.2557251908396946,0.5343511450381679
BK0504,0.4312977099236641,0.5038167938931297,0.8091603053435115,0.3053435114503817
BK0505,0.33587786259541985,0.36641221374045807,0.7175572519083969,0.5458015267175572
BK0571,0.8053435114503817,0.7977099236641222,0.8473282442748091,0.1717557251908397
BK0601,0.48091603053435117,0.4274809160305344,0.5801526717557252,0.6412213740458015
BK0602,0.3396946564885496,0.33587786259541985,0.4274809160305343,0.799618320610687
BK0701,0.6374045801526718,0.5076335877862597,0.4427480916030534,0.6526717557251909
BK0702,0.4427480916030534,0.5190839694656488,0.183206106870229,0.6793893129770991
BK0703,0.30916030534351147,0.32061068702290074,0.5916030534351145,0.9561068702290076
BK0771,0.8893129770992367,0.9122137404580153,0.0305343511450381,0.1469465648854961
BK0801,0.3702290076335878,0.2442748091603053,0.3854961832061068,0.8148854961832062
BK0802,0.2442748091603053,0.18320610687022898,0.465648854961832,0.7461832061068703
BK0891,0.3740458015267175,0.6068702290076335,0.916030534351145,0.2480916030534351
BK0901,0.2557251908396947,0.1870229007633588,0.4045801526717557,0.7690839694656488
BK0902,0.32061068702290074,0.14885496183206104,0.3167938931297709,0.7251908396946565
BK1001,0.5076335877862597,0.46183206106870234,0.7251908396946565,0.6965648854961832
BK1002,0.5610687022900763,0.5992366412213741,0.3969465648854962,0.6793893129770991
BK1061,0.9122137404580153,0.919847328244275,0.7442748091603053,0.0763358778625954
BK1091,0.83587786259542,0.8206106870229009,0.965648854961832,0.1297709923664122
