nta2020,schools_count,schools_pct
QN0503,4.0,0.42366412213740456
QN0504,3.0,0.33587786259541985
QN0571,0.0,0.11259541984732824
QN0572,0.0,0.11259541984732824
QN0573,0.0,0.11259541984732824
QN0574,0.0,0.11259541984732824
QN0601,4.0,0.5267175572519084
QN0602,12.0,0.5381679389312977
QN0701,4.0,0.2748091603053435
QN0702,3.0,0.26717557251908397
QN0703,4.0,0.36259541984732824
QN0704,6.0,0.3702290076335878
QN0705,4.0,0.4083969465648855
QN0706,2.0,0.3015267175572519
QN0707,10.0,0.6145038167938931
QN0761,0.0,0.11259541984732824
QN0791,0.0,0.11259541984732824
QN0801,8.0,0.5801526717557252
QN0802,7.0,0.5076335877862596
QN0803,4.0,0.3893129770992366
QN0804,1.0,0.22900763358778625
QN0805,12.0,0.7442748091603053
QN0871,0.0,0.11259541984732824
QN0891,0.0,0.11259541984732824
QN0901,1.0,0.2595419847328244
QN0902,9.0,0.6374045801526718
QN0903,4.0,0.6030534351145038
QN0904,4.0,0.5648854961832062
QN0905,3.0,0.41603053435114506
QN1001,11.0,0.42748091603053434
QN1002,6.0,0.5877862595419847
QN1003,5.0,0.3473282442748092
QN1091,0.0,0.11259541984732824
QN1101,7.0,0.40076335877862596
QN1102,8.0,0.37786259541984735
QN1103,5.0,0.29389312977099236
QN1104,5.0,0.40458015267175573
QN1191,0.0,0.11259541984732824
QN1201,16.0,0.6755725190839694
QN1202,8.0,0.5419847328244275
QN1203,9.0,0.5
QN1204,12.0,0.6793893129770993
QN1205,11.0,0.44274809160305345
QN1206,5.0,0.5343511450381679
QN1301,7.0,0.4580152671755725
QN1302,7.0,0.4122137404580153
QN1303,5.0,0.2900763358778626
QN1304,6.0,0.4961832061068702
QN1305,5.0,0.3969465648854962
QN1306,5.0,0.33969465648854963
QN1307,4.0,0.3244274809160305
QN1371,0.0,0.11259541984732824
QN1401,15.0,0.5992366412213741
QN1402,4.0,0.30916030534351147
QN1403,10.0,0.4351145038167939
QN1491,0.0,0.11259541984732824
QN8081,0.0,0.11259541984732824
QN8191,0.0,0.11259541984732824
QN8291,0.0,0.11259541984732824
QN8381,0.0,0.11259541984732824
QN8491,0.0,0.11259541984732824
QN8492,0.0,0.11259541984732824
SI0101,11.0,0.7290076335877863
SI0102,6.0,0.5954198473282443
SI0103,3.0,0.3282442748091603
SI0104,5.0,0.27099236641221375
SI0105,3.0,0.2480916030534351
SI0106,6.0,0.46564885496183206
SI0107,3.0,0.2366412213740458
SI0191,0.0,0.11259541984732824
SI0201,5.0,0.2824427480916031
SI0202,6.0,0.3511450381679389
SI0203,6.0,0.23282442748091603
SI0204,13.0,0.2786259541984733
SI0291,0.0,0.11259541984732824
SI0301,2.0,0.24045801526717558
SI0302,8.0,0.2862595419847328
SI0303,3.0,0.25190839694656486
SI0304,7.0,0.24427480916030533
SI0305,3.0,0.22519083969465647
SI0391,0.0,0.11259541984732824
SI9561,0.0,0.11259541984732824
SI9591,0.0,0.11259541984732824
SI9592,1.0,0.3435114503816794
SI9593,0.0,0.11259541984732824
