nta2020,schools_count,schools_pct
BK0101,5.0,0.4312977099236641
BK0102,11.0,0.7175572519083969
BK0103,7.0,0.7633587786259542
BK0104,16.0,0.648854961832061
BK0201,1.0,0.35877862595419846
BK0202,23.0,0.9236641221374046
BK0203,10.0,0.8129770992366412
BK0204,7.0,0.7748091603053435
BK0261,1.0,0.3549618320610687
BK0301,22.0,0.8396946564885496
BK0302,34.0,0.9045801526717557
BK0401,14.0,0.8473282442748091
BK0402,20.0,0.8854961832061069
BK0471,0.0,0.11259541984732824
BK0501,12.0,0.7824427480916031
BK0502,14.0,0.7900763358778626
BK0503,21.0,0.7519083969465649
BK0504,4.0,0.4389312977099237
BK0505,6.0,0.5114503816793893
BK0571,5.0,0.8549618320610687
BK0601,17.0,0.6259541984732825
BK0602,15.0,0.816793893129771
BK0701,9.0,0.8244274809160306
BK0702,24.0,0.7709923664122137
BK0703,4.0,0.5534351145038168
BK0771,0.0,0.11259541984732824
BK0801,5.0,0.7786259541984732
BK0802,21.0,0.8320610687022901
BK0891,0.0,0.11259541984732824
BK0901,12.0,0.8435114503816794
BK0902,12.0,0.7862595419847328
BK1001,11.0,0.4847328244274809
BK1002,8.0,0.6221374045801527
BK1061,0.0,0.11259541984732824
BK1091,0.0,0.11259541984732824
BK1101,11.0,0.5763358778625954
BK1102,4.0,0.5229007633587787
BK1103,8.0,0.583969465648855
BK1201,2.0,0.4770992366412214
BK1202,9.0,0.5725190839694656
BK1203,5.0,0.6335877862595419
BK1204,6.0,0.5190839694656488
BK1301,10.0,0.7213740458015268
BK1302,12.0,0.6068702290076335
BK1303,5.0,0.6984732824427481
BK1391,0.0,0.11259541984732824
BK1401,4.0,0.4732824427480916
BK1402,6.0,0.6183206106870229
BK1403,7.0,0.5610687022900763
BK1501,4.0,0.3816793893129771
BK1502,3.0,0.37404580152671757
BK1503,14.0,0.5687022900763359
BK1601,11.0,0.8015267175572519
BK1602,30.0,0.9312977099236641
BK1701,12.0,0.851145038167939
BK1702,4.0,0.46946564885496184
BK1703,12.0,0.7480916030534351
BK1704,13.0,0.8778625954198473
BK1771,0.0,0.11259541984732824
BK1801,4.0,0.29770992366412213
BK1802,7.0,0.38549618320610685
BK1803,24.0,0.6717557251908397
BK1891,2.0,0.25572519083969464
BK1892,0.0,0.11259541984732824
BK1893,0.0,0.11259541984732824
BK5591,0.0,0.11259541984732824
BK5691,0.0,0.11259541984732824
BK5692,0.0,0.11259541984732824
BK5693,0.0,0.11259541984732824
BX0101,35.0,0.9122137404580153
BX0102,29.0,0.9923664122137404
BX0201,8.0,0.48091603053435117
BX0202,19.0,0.9694656488549618
BX0291,0.0,0.11259541984732824
BX0301,19.0,0.9809160305343512
BX0302,21.0,0.9961832061068703
BX0303,14.0,0.916030534351145
BX0391,0.0,0.11259541984732824
BX0401,30.0,0.9618320610687023
BX0402,6.0,0.7595419847328244
BX0403,20.0,0.9847328244274809
BX0491,1.0,0.683206106870229
BX0492,0.0,0.11259541984732824
BX0501,14.0,0.8816793893129771
BX0502,8.0,0.8587786259541985
BX0503,9.0,0.9656488549618321
BX0601,7.0,0.8358778625954199
BX0602,20.0,0.9732824427480916
BX0603,18.0,0.9541984732824428
BX0701,7.0,0.7137404580152672
BX0702,16.0,0.8664122137404581
BX0703,9.0,0.8091603053435115
BX0801,9.0,0.9007633587786259
BX0802,12.0,0.9274809160305344
BX0803,5.0,0.3053435114503817
BX0901,19.0,0.8206106870229007
BX0902,18.0,0.8282442748091603
BX0903,7.0,0.549618320610687
BX0904,4.0,0.7404580152671756
BX0991,0.0,0.11259541984732824
BX1001,2.0,0.4198473282442748
BX1002,20.0,0.6412213740458015
BX1003,3.0,0.32061068702290074
BX1004,11.0,0.7061068702290076
BX1071,0.0,0.11259541984732824
BX1091,0.0,0.11259541984732824
BX1101,5.0,0.6641221374045801
BX1102,8.0,0.6297709923664122
BX1103,5.0,0.4618320610687023
BX1104,11.0,0.8740458015267175
BX1161,1.0,0.31297709923664124
BX1201,15.0,0.7251908396946565
BX1202,12.0,0.5458015267175572
BX1203,6.0,0.44656488549618323
BX1271,0.0,0.11259541984732824
BX2691,0.0,0.11259541984732824
BX2791,0.0,0.11259541984732824
BX2891,0.0,0.11259541984732824
MN0101,19.0,0.9389312977099237
MN0102,5.0,0.6946564885496184
MN0191,1.0,0.31679389312977096
MN0201,4.0,0.6526717557251909
MN0202,2.0,0.5038167938931297
MN0203,6.0,0.732824427480916
MN0301,12.0,0.9465648854961832
MN0302,18.0,0.950381679389313
MN0303,13.0,0.8702290076335878
MN0401,14.0,0.767175572519084
MN0402,18.0,0.9351145038167938
MN0501,8.0,0.7977099236641222
MN0502,3.0,0.3931297709923664
MN0601,0.0,0.11259541984732824
MN0602,16.0,1.0
MN0603,5.0,0.6603053435114504
MN0604,2.0,0.4541984732824427
MN0661,0.0,0.11259541984732824
MN0701,10.0,0.8625954198473282
MN0702,19.0,0.8893129770992366
MN0703,7.0,0.7938931297709924
MN0801,12.0,0.8053435114503816
MN0802,4.0,0.5305343511450382
MN0803,5.0,0.6908396946564885
MN0901,5.0,0.6564885496183206
MN0902,14.0,0.9770992366412213
MN0903,6.0,0.7022900763358778
MN1001,16.0,0.9580152671755725
MN1002,20.0,0.9083969465648855
MN1101,26.0,0.9885496183206107
MN1102,27.0,0.9427480916030534
MN1191,0.0,0.11259541984732824
MN1201,16.0,0.8931297709923665
MN1202,20.0,0.8969465648854962
MN1203,14.0,0.9198473282442748
MN1291,0.0,0.11259541984732824
MN1292,0.0,0.11259541984732824
