nta2020,crime_pct,crime_per_km2,crime_count
BK0101,0.4770992366412214,327.0897087349562,1871.0
BK0102,0.7099236641221374,733.5403968176294,3426.0
BK0103,0.5877862595419847,475.40356757903555,1170.0
BK0104,0.5916030534351145,488.7532147110244,4135.0
BK0201,0.6335877862595419,557.9308880406905,901.0
BK0202,0.9351145038167938,1709.7322929567415,6564.0
BK0203,0.7748091603053435,1001.3316006158145,2840.0
BK0204,0.6374045801526718,563.6382755109906,1328.0
BK0261,0.19083969465648856,53.199078800341034,87.0
BK0301,0.7862595419847328,1038.4327099505715,6199.0
BK0302,0.7786259541984732,1020.9560640871656,6818.0
BK0401,0.7404580152671756,917.6469704129854,3435.0
BK0402,0.7480916030534351,959.8173222543916,4337.0
BK0471,0.07251908396946564,8.856380070990776,8.0
BK0501,0.6526717557251909,607.4847408866459,2395.0
BK0502,0.7977099236641222,1072.77260243928,4840.0
BK0503,0.7022900763358778,706.1950230640059,5302.0
BK0504,0.5687022900763359,436.4521383275426,1910.0
BK0505,0.6641221374045801,635.6731088827602,3240.0
BK0571,0.1946564885496183,53.42165782693573,70.0
BK0601,0.5190839694656488,375.57416426836824,3693.0
BK0602,0.6603053435114504,623.7911821117785,2605.0
BK0701,0.36259541984732824,189.1451137038459,468.0
BK0702,0.5572519083969466,427.6394272951125,3481.0
BK0703,0.6908396946564885,690.6006694444133,2092.0
BK0771,0.11068702290076336,15.545311076391496,53.0
BK0801,0.6297709923664122,556.1292079703094,927.0
BK0802,0.7557251908396947,969.2739469632861,5550.0
BK0891,0.6259541984732825,544.9956198093784,107.0
BK0901,0.7442748091603053,952.3333662644279,3087.0
BK0902,0.6793893129770993,669.2723584416224,2600.0
BK1001,0.49236641221374045,352.73022861741475,3510.0
BK1002,0.4389312977099237,290.3752837512208,1365.0
BK1061,0.08778625954198473,10.982131183574475,15.0
BK1091,0.16412213740458015,31.638571119433816,51.0
BK1101,0.5419847328244275,419.9350293574554,3296.0
BK1102,0.5992366412213741,501.41275698286114,1663.0
BK1103,0.5152671755725191,373.3882493377257,2038.0
BK1201,0.6679389312977099,642.893953487207,1220.0
BK1202,0.4083969465648855,243.54365409024325,1592.0
BK1203,0.5267175572519084,386.97338671308296,1092.0
BK1204,0.35877862595419846,188.8842840352207,956.0
BK1301,0.42748091603053434,282.50475292651686,1177.0
BK1302,0.6412213740458015,569.6234510674435,4370.0
BK1303,0.6870229007633588,685.0218479171724,1498.0
BK1391,0.05343511450381679,2.93766180062102,2.0
BK1401,0.7900763358778626,1046.5801783974186,4061.0
BK1402,0.549618320610687,423.9003756826585,1568.0
BK1403,0.4198473282442748,271.3142578449215,1411.0
BK1501,0.4847328244274809,337.85785225840164,1901.0
BK1502,0.4618320610687023,317.3797888125901,1402.0
BK1503,0.42366412213740456,282.01558261790626,2882.0
BK1601,0.8816793893129771,1299.7698666086765,4222.0
BK1602,0.8893129770992366,1319.5704344607936,6566.0
BK1701,0.8015267175572519,1076.6891762479497,3439.0
BK1702,0.6221374045801527,530.8192394841005,2068.0
BK1703,0.683206106870229,675.4686893315096,2969.0
BK1704,0.8053435114503816,1078.1520644918007,3204.0
BK1771,0.1717557251908397,34.739306816649574,24.0
BK1801,0.5610687022900763,433.51457573742135,3803.0
BK1802,0.3893129770992366,226.17935663203923,2149.0
BK1803,0.4961832061068702,353.0624536821866,4022.0
BK1891,0.11450381679389313,17.384711360774624,122.0
BK1892,0.0648854961832061,6.436773758897058,11.0
BK1893,0.2595419847328244,100.79119550085296,188.0
BK5591,0.21374045801526717,62.71752025962076,277.0
BK5691,0.0916030534351145,12.2468870753364,108.0
BK5692,0.013358778625954198,0.0,0.0
BK5693,0.013358778625954198,0.0,0.0
BX0101,0.8129770992366412,1086.283489087663,7225.0
BX0102,0.9885496183206107,2397.936093801751,6725.0
BX0201,0.5801526717557252,467.8762073118443,3420.0
BX0202,0.9389312977099237,1773.4382681289426,4434.0
